row,legacy_url,title,brand,match_method,ad_id
20882,/advert/marks-%26-spencer/pyjamas-for-christmas,Pyjamas For Christmas,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
20890,/advert/marks-%26-spencer/party-food,Party Food,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
20901,/advert/warner-bros/going-in-style,Going In Style,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
20944,/advert/xbox-360/music-games,Music Games,Xbox 360,brand_year_unique,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b
20951,/advert/lotto/christmas-scratchcards,Christmas Scratchcards,Lotto,external_id,eebf40ef-18d8-4c49-8cc7-1533765727fa
21007,/advert/sony/a-sony-christmas-carol---pudding,A Sony Christmas Carol - Pudding,Sony,brand_year_unique,440cb21c-f678-448e-bce1-d0debda161a5
21019,/advert/warner-bros/sex-%26-the-city-2,Sex & The City 2,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
21022,/advert/tesco/planet-earth,Planet Earth,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
21053,/advert/tesco/monkeys,Monkeys,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
21067,/advert/tesco/finest-christmas-party,Finest Christmas Party,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
21069,/advert/marks-%26-spencer/adventures-in-harvest,Adventures In Harvest,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
21077,/advert/marks-%26-spencer/caroline-quentin---valentine-gourmet-dining,Caroline Quentin - Valentine Gourmet Dining,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
21092,/advert/marks-%26-spencer/caroline-quentin---just-because,Caroline Quentin - Just Because,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
21141,/advert/carlsberg/haircuts,Haircuts,Carlsberg,brand_year_unique,2bcde095-d274-4305-b256-2056e48a70a7
21166,/advert/john-lewis/moz-the-monster,Moz The Monster,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
21189,/advert/warner-bros/doctor-sleep,Doctor Sleep,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
21215,/advert/marks-%26-spencer/adventures-in-surprises,Adventures In Surprises,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
21243,/advert/lg/infinia-full-led-televisions,Infinia Full LED Televisions,LG,brand_year_unique,848668f5-29bc-45d0-b898-7df0d47e227a
21248,/advert/tesco/christmas-2012---crackers,Christmas 2012 - Crackers,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
21303,/advert/marks-%26-spencer/christmas-2016---mrs-claus,Christmas 2016 - Mrs Claus,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
21316,/advert/warner-bros/rock-of-ages,Rock Of Ages,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
21373,/advert/tesco/hot-air-balloon,Hot Air Balloon,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
21374,/advert/sunday-mirror/jubilee-souvenir-magazine,Jubilee Souvenir Magazine,Sunday Mirror,brand_year_unique,141ebb07-c7e7-4574-b544-aacecdfdec5b
