row,legacy_url,title,brand,match_method
12101,/advert/hotels.com/work%2C-rest-or-play,"Work, Rest Or Play",Hotels.com,unmatched
12102,/advert/cif/oven-cleaner,Oven Cleaner,Cif,unmatched
12103,/advert/guardian/wine-course,Wine Course,Guardian,unmatched
12104,/advert/pampers/goldilocks,Goldilocks,Pampers,unmatched
12105,/advert/tesco/biggest-ever-toy-sale,Biggest Ever Toy Sale,Tesco,unmatched
12106,/advert/ovo-energy/beyond-%E2%80%93-a-lot-can-happen-in-a-year,Beyond – A Lot Can Happen In A Year,OVO Energy,unmatched
12107,/advert/audible/comedy,Comedy,Audible,unmatched
12108,/advert/universal/roger-waters---the-wall,Roger Waters - The Wall,Universal,unmatched
12109,/advert/surf/essential-oils,Essential Oils,Surf,unmatched
12110,/advert/young's/gastro---diary-of-a-cat,Gastro - Diary Of A Cat,Young's,unmatched
12111,/advert/dave-pearce/classic-dance-anthems,Classic Dance Anthems,Dave Pearce,unmatched
12112,/advert/haier/connect-to-extraordinary,Connect To Extraordinary,Haier,unmatched
12113,/advert/thirdhome/luxury-property-%26-travel-club,Luxury Property & Travel Club,Thirdhome,unmatched
12114,/advert/peperami/free-cinema-tickets,Free Cinema Tickets,Peperami,unmatched
12115,/advert/envirofone/cash-for-your-mobile,Cash For Your Mobile,Envirofone,unmatched
12116,/advert/petits-filous/trumpet,Trumpet,Petits Filous,unmatched
12117,/advert/microsoft/cortana,Cortana,Microsoft,unmatched
12118,/advert/bahlsen/choco-moments,Choco Moments,Bahlsen,unmatched
12119,/advert/ireland/all-the-music-you-need,All The Music You Need,Ireland,unmatched
12120,/advert/specsavers/digital-hearing-aids,Digital Hearing Aids,Specsavers,unmatched
12121,/advert/ramin/ramin,Ramin,Ramin,unmatched
12122,/advert/asda/milked-myself,Milked Myself,Asda,unmatched
12123,/advert/natwest/emergency-cash-service---car-park,Emergency Cash Service - Car Park,NatWest,unmatched
12124,/advert/mcdonald's/car-seats,Car Seats,McDonald's,unmatched
12125,/advert/vision-express/zookeeper,Zookeeper,Vision Express,unmatched
12126,/advert/amazon/singing-boxes,Singing Boxes,Amazon,unmatched
12127,/advert/boux-avenue/loved-by-boux,Loved By Boux,Boux Avenue,unmatched
12128,/advert/not-on-the-high-street.com/choose-a-life-less-ordinary,Choose A Life Less Ordinary,Not On The High Street.com,unmatched
12129,/advert/o2/roam-freely,Roam Freely,O2,unmatched
12130,/advert/sainsbury's/home-for-the-weekend-by-kate,Home For The Weekend By Kate,Sainsbury's,unmatched
12131,/advert/barclays/lifeskills-%E2%80%93-elevator,LifeSkills – Elevator,Barclays,unmatched
12132,/advert/lenor/unstoppables,Unstoppables,Lenor,unmatched
12133,/advert/nicorette/icy-mint-cools,Icy Mint Cools,Nicorette,unmatched
12134,/advert/jeep/patriot---it-figures,Patriot - It Figures,Jeep,unmatched
12135,/advert/tesco/whoosh-%E2%80%93-bubble-bath,Whoosh – Bubble Bath,Tesco,unmatched
12136,/advert/nivea/dnage---cell-renewal,DNAge - Cell Renewal,Nivea,unmatched
12137,/advert/shape/delights---desert-fantasy,Delights - Desert Fantasy,Shape,unmatched
12138,/advert/tesco/salmon-for-easter,Salmon For Easter,Tesco,unmatched
12139,/advert/edf/busy-doing-nothing,Busy Doing Nothing,EDF,unmatched
12140,/advert/boots/digital-photos-4p,Digital Photos 4p,Boots,unmatched
12141,/advert/see-saw.com/tv-smiles-salon,TV Smiles Salon,See Saw.com,unmatched
12142,/advert/entertainment-one/foxcatcher,Foxcatcher,Entertainment One,unmatched
12143,/advert/confused.com/rising-car-insurance,Rising Car Insurance,Confused.com,unmatched
12144,/advert/sony/bravia-oled,Bravia OLED,Sony,unmatched
12145,/advert/friends-reunited/your-school-friends-%2B-dating,Your School Friends + Dating,Friends Reunited,unmatched
12146,/advert/wrigley's/extra---ashton-kutcher,Extra - Ashton Kutcher,Wrigley's,unmatched
12147,/advert/ebay/the-ebay-way,The Ebay Way,Ebay,unmatched
12148,/advert/homesun/free-solar-systems---michael-fish,Free Solar Systems - Michael Fish,HomeSun,unmatched
12149,/advert/bt/118-500---new-neighbour,118 500 - New Neighbour,BT,unmatched
12150,/advert/botb/win-your-dream-car,Win Your Dream Car,BOTB,unmatched
12151,/advert/jobsite.co.uk/just-checking,Just Checking,Jobsite.co.uk,unmatched
12152,/advert/drench/hydration-testing---water-bomber,Hydration Testing - Water Bomber,Drench,unmatched
12153,/advert/head-%26-shoulders/don't-break-up-with-your-hair,Don't Break Up With Your Hair,Head & Shoulders,unmatched
12154,/advert/pedigree/bandit's-first-owner,Bandit's First Owner,Pedigree,unmatched
12155,/advert/paramount/shelter,Shelter,Paramount,unmatched
12156,/advert/halifax/it's-a-people-thing---market,It's A People Thing - Market,Halifax,unmatched
12157,/advert/tesco-compare/car-insurance,Car Insurance,Tesco Compare,unmatched
12158,/advert/virgin-media/a-world-of-entertainment,A World Of Entertainment,Virgin Media,unmatched
12159,/advert/direct-line/25-year-anniversary---home-insurance,25 Year Anniversary - Home Insurance,Direct Line,unmatched
12160,/advert/ikea/billy-bookcase,Billy Bookcase,Ikea,unmatched
12161,/advert/subway/sub-of-the-day,Sub Of The Day,Subway,unmatched
12162,/advert/best-of-r%26b/hit-selection,Hit Selection,Best of R&B,unmatched
12163,/advert/tk-maxx/the-small-prices-you-pay,The Small Prices You Pay,TK Maxx,unmatched
12164,/advert/money-supermarket.com/epic-wolf---blue-light,Epic Wolf - Blue Light,Money Supermarket.com,unmatched
12165,/advert/bing.com/clutch-bag,Clutch Bag,Bing.com,unmatched
12166,/advert/raylo/get-the-tech-you-really-want,Get The Tech You Really Want,Raylo,unmatched
12167,/advert/duracell/ultra,Ultra,Duracell,unmatched
12168,/advert/select-car-leasing/find-your-ideal-car,Find Your Ideal Car,Select Car Leasing,unmatched
12169,/advert/britannia-overseas-properties/bulgaria,Bulgaria,Britannia Overseas Properties,unmatched
12170,/advert/visa/rugby-world-cup,Rugby World Cup,Visa,unmatched
12171,/advert/kingsmill/the-king,The King,Kingsmill,unmatched
12172,/advert/rag'n'bone-man/human,Human,Rag'n'Bone Man,unmatched
12173,/advert/wartner/mum's-found-wartner,Mum's Found Wartner,Wartner,unmatched
12174,/advert/army/military-clerk,Military Clerk,Army,unmatched
12175,/advert/aj-bell/magician,Magician,AJ Bell,unmatched
12176,/advert/shaftesbury-theatre/motown-the-musical,Motown The Musical,Shaftesbury Theatre,unmatched
12177,/advert/tom-jones/praise-%26-blame,Praise & Blame,Tom Jones,unmatched
12178,/advert/british-gas/energy-savers-report-online,Energy Savers Report Online,British Gas,unmatched
12179,/advert/subway/hitchhiker,Hitchhiker,Subway,unmatched
12180,/advert/ok!/jordan-%26-peter-wedding-anniversary,Jordan & Peter Wedding Anniversary,OK!,unmatched
12181,/advert/tampax/pearl---olympic-high-jump,Pearl - Olympic High Jump,Tampax,unmatched
12182,/advert/purple-bricks/sell-for-free,Sell For Free,Purple Bricks,unmatched
12183,/advert/vicks/sinex-soother,Sinex Soother,Vicks,unmatched
12184,/advert/stella-artois/train,Train,Stella Artois,unmatched
12185,/advert/h-samuel/helps-you-say-it-better,Helps You Say It Better,H Samuel,unmatched
12186,/advert/oral-b/join-the-revolution,Join The Revolution,Oral-B,unmatched
12187,/advert/hm-revenue-%26-customs/don't-bring-me-back!,Don't Bring Me Back!,HM Revenue & Customs,unmatched
12188,/advert/rana/generosity,Generosity,Rana,unmatched
12189,/advert/cadbury/cr%EF%BF%BDme-egg---have-a-fling---limo,Cr�me Egg - Have A Fling - Limo,Cadbury,unmatched
12190,/advert/autotrader/magician's-assistant,Magician's Assistant,Autotrader,unmatched
12191,/advert/ashbury-golf-hotel/free-golf,Free Golf,Ashbury Golf Hotel,unmatched
12192,/advert/l'oreal/matte-morphose,Matte Morphose,L'Oreal,unmatched
12193,/advert/calgon/so-annoying,So Annoying,Calgon,unmatched
12194,/advert/b%26q/prices-nailed,Prices Nailed,B&Q,unmatched
12195,/advert/tesco/easter-garden-furniture,Easter Garden Furniture,Tesco,unmatched
12196,/advert/lidl/lidl-bear---a-christmas-star-is-born,Lidl Bear - A Christmas Star Is Born,Lidl,unmatched
12197,/advert/polaris-world/free-visit,Free Visit,Polaris World,unmatched
12198,/advert/munch-bunch/calcium,Calcium,Munch Bunch,unmatched
12199,/advert/ralph-lauren/the-world-of-polo,The World Of Polo,Ralph Lauren,unmatched
12200,/advert/dwp/benefit-thieves---income-declaration,Benefit Thieves - Income Declaration,DWP,unmatched
12201,/advert/danone/activia---serena,Activia - Serena,Danone,unmatched
12202,/advert/lionsgate/machine-gun-preacher,Machine Gun Preacher,Lionsgate,unmatched
12204,/advert/dunelm/the-home-of-homes-this-christmas,The Home Of Homes This Christmas,Dunelm,unmatched
12205,/advert/l'oreal/de-maq-milk-to-toner,De-Maq Milk To Toner,L'Oreal,unmatched
12206,/advert/the-centre%3Amk/unlimited-style.-one-destination,Unlimited Style. One Destination,The Centre:MK,unmatched
12207,/advert/777-casino/luck,Luck,777 Casino,unmatched
12208,/advert/budweiser/designate-a-driver,Designate A Driver,Budweiser,unmatched
12209,/advert/lotto/private-jet,Private Jet,Lotto,unmatched
12210,/advert/news-of-the-world/peter-andre-exclusive-interview,Peter Andre Exclusive Interview,News Of The World,unmatched
12211,/advert/mail-on-sunday/cliff-richard,Cliff Richard,Mail On Sunday,unmatched
12212,/advert/visit-malaysia/endless-celebrations,Endless Celebrations,Visit Malaysia,unmatched
12213,/advert/aldi/irish-cream-liqueur,Irish Cream Liqueur,Aldi,unmatched
12214,/advert/entertainment-films/silver-linings,Silver Linings,Entertainment Films,unmatched
12215,/advert/re%3Acreation/matchmaster,MatchMaster,Re:creation,unmatched
12216,/advert/dreamworks-tours/shrek's-adventure,Shrek's Adventure,DreamWorks Tours,unmatched
12217,/advert/dolmio/oh-yeah!,Oh Yeah!,Dolmio,unmatched
12218,/advert/tesco/harry-potter-%26-the-deathly-hallows-part-2,Harry Potter & The Deathly Hallows Part 2,Tesco,unmatched
12219,/advert/ernest-jones/neil-lane-collection,Neil Lane Collection,Ernest Jones,unmatched
12220,/advert/daily-mail/euro-millions,Euro Millions,Daily Mail,unmatched
12221,/advert/garnier/nutrisse-foam,Nutrisse Foam,Garnier,unmatched
12222,/advert/salonpas/living-statues,Living Statues,Salonpas,unmatched
12223,/advert/subway/frozen-office,Frozen Office,Subway,unmatched
12224,/advert/comfort/kitten-soft,Kitten Soft,Comfort,unmatched
12225,/advert/world-animal-protection/don't-ignore-their-cries,Don't Ignore Their Cries,World Animal Protection,unmatched
12226,/advert/hyundai/tucson-hybrid---break-the-mould,Tucson Hybrid - Break The Mould,Hyundai,unmatched
12227,/advert/purple-bricks/team-gb---moe-sbihi,Team GB - Moe Sbihi,Purple Bricks,unmatched
12228,/advert/premier-inn/premier-weekend,Premier Weekend,Premier Inn,unmatched
12229,/advert/vanish/carpet-cleaner,Carpet Cleaner,Vanish,unmatched
12230,/advert/aviva/comparison-websites,Comparison Websites,Aviva,unmatched
12231,/advert/go-compare.com/robin-hood,Robin Hood,Go Compare.com,unmatched
12232,/advert/fixodent/plus---0%25,Plus - 0%,Fixodent,unmatched
12233,/advert/20th-century-fox/snoopy-%26-charlie-brown---the-peanuts-movie,Snoopy & Charlie Brown - The Peanuts Movie,20th Century Fox,unmatched
12234,/advert/ibm/smart-cloud,Smart Cloud,IBM,unmatched
12235,/advert/black-eyed-peas/the-e.n.d,The E.N.D,Black Eyed Peas,unmatched
12236,/advert/warner-bros/contagion,Contagion,Warner Bros,unmatched
12237,/advert/barclays/code-playground---dancing-dinosaur,Code Playground - Dancing Dinosaur,Barclays,unmatched
12238,/advert/cheestrings/red-basil---definitely-just-cheese,Red Basil - Definitely Just Cheese,Cheestrings,unmatched
12239,/advert/olay/regenerist-3-point-treatment-cream,Regenerist 3 Point Treatment Cream,Olay,unmatched
12240,/advert/brancott-estate/marlborough-sauvignon-gris,Marlborough Sauvignon Gris,Brancott Estate,unmatched
12241,/advert/motorpoint/jolly-good-company,Jolly Good Company,Motorpoint,unmatched
12242,/advert/turkish-riviera/go-east,Go East,Turkish Riviera,unmatched
12243,/advert/birds-eye/green-cuisine---proud-to-power-team-gb,Green Cuisine - Proud To Power Team GB,Birds Eye,unmatched
12244,/advert/hx/hurtigruten-expeditions,Hurtigruten Expeditions,HX,unmatched
12245,/advert/edf-energy/eco-20%3A20,Eco 20:20,EDF Energy,unmatched
12246,/advert/dunhelm/dottie-%26-barry,Dottie & Barry,Dunhelm,unmatched
12247,/advert/co-operative/elmwood-welfare-standard,Elmwood Welfare Standard,Co-Operative,unmatched
12248,/advert/reebok/easytone,Easytone,Reebok,unmatched
12249,/advert/synseal/smooth-lines,Smooth Lines,Synseal,unmatched
12250,/advert/always/period-poverty---missing-school,Period Poverty - Missing School,Always,unmatched
12251,/advert/pizza-hut-delivery/sexy-people---can't-cook,Sexy People - Can't Cook,Pizza Hut Delivery,unmatched
12252,/advert/icon/anthropoid,Anthropoid,Icon,unmatched
12253,/advert/sure/future-ready-protection,Future Ready Protection,Sure,unmatched
12254,/advert/gillette/venus---inside-every-woman,Venus - Inside Every Woman,Gillette,unmatched
12255,/advert/sun/wedding-speech,Wedding Speech,Sun,unmatched
12256,/advert/marmite/milk,Milk,Marmite,unmatched
12257,/advert/virgin-media/sofa-bear-and-night-owl,Sofa Bear And Night Owl,Virgin Media,unmatched
12258,/advert/kerala/a-reading-room-with-a-view,A Reading Room With A View,Kerala,unmatched
12259,/advert/vodafone/live-your-life-unlimited,Live Your Life Unlimited,Vodafone,unmatched
12260,/advert/lidl/big-on-a-british-summer,Big On A British Summer,Lidl,unmatched
12261,/advert/kane-%26-lynch/dead-men,Dead Men,Kane & Lynch,unmatched
12262,/advert/asda/have-your-elf-a-merry-christmas,Have Your Elf A Merry Christmas,Asda,unmatched
12263,/advert/thinkbox/harvey-%26-rabbit---friends-for-life,Harvey & Rabbit - Friends For Life,Thinkbox,unmatched
12264,/advert/randstad/recruitment---shaping-the-world-of-work,Recruitment - Shaping The World Of Work,Randstad,unmatched
12265,/advert/scs/new-look%2C-new-sofas,"New Look, New Sofas",ScS,unmatched
12266,/advert/danone/shape---feel-fuller-for-longer,Shape - Feel Fuller For Longer,Danone,unmatched
12267,/advert/clearscore/ruby,Ruby,ClearScore,unmatched
12268,/advert/apple/airpods-pro---active-noise-cancellation,AirPods Pro - Active Noise Cancellation,Apple,unmatched
12269,/advert/teletext-holidays/credit-crunch,Credit Crunch,Teletext Holidays,unmatched
12270,/advert/john-lewis/christmas-2019---edgar-the-dragon,Christmas 2019 - Edgar The Dragon,John Lewis,unmatched
12271,/advert/fiat/grande-punto---engineered-to-entertain,Grande Punto - Engineered To Entertain,Fiat,unmatched
12272,/advert/trivago/ballet-maids,Ballet Maids,Trivago,unmatched
12273,/advert/mcdonald's/2-for-1-cinema-offer,2 For 1 Cinema Offer,McDonald's,unmatched
12274,/advert/indesit/moon,Moon,Indesit,unmatched
12275,/advert/malibu/melons,Melons,Malibu,unmatched
12276,/advert/playstation-3/a-world-of-family-fun,A World Of Family Fun,Playstation 3,unmatched
12277,/advert/ing-direct/itchy-bear,Itchy Bear,ING Direct,unmatched
12278,/advert/mcdonald's/juliette-the-doll,Juliette The Doll,McDonald's,unmatched
12279,/advert/nature-valley/london-2012---official-cereal-bars,London 2012 - Official Cereal Bars,Nature Valley,unmatched
12280,/advert/sainsbury's/taste-the-difference---new-%26-improved,Taste The Difference - New & Improved,Sainsbury's,unmatched
