row,legacy_url,title,brand,match_method,ad_id,status,slug
7169,/advert/hmv/the-best-of-the-bbc,The Best Of The BBC,HMV,external_id,831af9f5-6bfa-4c7d-99fc-fa77dc7c3042,inserted,hmv/the-best-of-the-bbc
7295,/advert/the-tudors/series-3-dvd,Series 3 DVD,The Tudors,external_id,9a7c23aa-43d0-4b1b-a810-f78477717038,inserted,the-tudors/series-3-dvd
7490,/advert/icon/the-box,The Box,Icon,external_id,bdc586c0-11b2-4e1b-bc54-b4ff7d349f43,inserted,icon/the-box
7518,/advert/schweppes/mistletoe,Mistletoe,Schweppes,external_id,603e650e-ead0-4098-aea5-3b1a04e5c19f,inserted,schweppes/mistletoe
7718,/advert/marks-%26-spencer/xmas-2009---chocolate-knickers,Xmas 2009 - Chocolate Knickers,Marks & Spencer,external_id,16600345-cfcf-4d52-b535-3e9673c9a531,inserted,marks-26-spencer/xmas-2009-chocolate-knickers
8290,/advert/asda/george-gifts,George Gifts,Asda,external_id,43b3a14a-c22d-4b85-b173-d7143f892ca8,inserted,asda/george-gifts
8329,/advert/phones4u/nokia---exclusive-rihanna-album,Nokia - Exclusive Rihanna Album,Phones4u,external_id,d975d507-f345-46c7-a932-7f21065518e3,inserted,phones4u/nokia-exclusive-rihanna-album
8359,/advert/subway/pedlo,Pedlo,Subway,external_id,d00c45c9-cca9-4159-b5f2-7834243ff926,inserted,subway/pedlo
8850,/advert/dell/studio-xps-16,Studio XPS 16,Dell,external_id,0d043798-eb0c-4411-8c93-5efcfef51a90,inserted,dell/studio-xps-16
8968,/advert/ministry-of-sound/one,One,Ministry Of Sound,external_id,73562224-af74-4ed8-8a46-6d571eee46d5,inserted,ministry-of-sound/one
9248,/advert/colgate/sensitive-pro-relief,Sensitive Pro-Relief,Colgate,external_id,1579ffe0-7401-46e6-8889-70d1540baf27,inserted,colgate/sensitive-pro-relief
9754,/advert/john-lewis/sweet-child-of-mine---ipod,Sweet Child Of Mine - iPod,John Lewis,external_id,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb,inserted,john-lewis/sweet-child-of-mine-ipod
9810,/advert/go-compare.com/barcombe-ladies-academy,Barcombe Ladies Academy,Go Compare.com,external_id,a84a9e18-0b95-4208-b96f-6910a123016a,inserted,go-comparecom/barcombe-ladies-academy
9902,/advert/kate-moss/vintage,Vintage,Kate Moss,external_id,70fc1ac6-82b1-4593-93d9-aa231945ec80,inserted,kate-moss/vintage
9962,/advert/jacob's-creek/true-character,True Character,Jacob's Creek,external_id,027842e6-9ea6-45b5-89d1-08b6489f77b9,inserted,jacobs-creek/true-character
10195,/advert/chanel/no5,No5,Chanel,external_id,8cae4e0f-22e6-4768-950d-a609c62e2e4d,inserted,chanel/no5
10939,/advert/sainsbury's/christmas-party-food,Christmas Party Food,Sainsbury's,external_id,9c9f0ac6-cfce-4857-a30c-88e7605a9ccc,inserted,sainsburys/christmas-party-food
10959,/advert/mumford-%26-sons/sigh-no-more,Sigh No More,Mumford & Sons,external_id,7178c282-38eb-403e-b0ad-33a3dbf0e87b,inserted,mumford-26-sons/sigh-no-more
11732,/advert/blackberry/do-what-you-love,Do What You Love,BlackBerry,external_id,612c924e-4e90-4767-955c-139f3190f3be,inserted,blackberry/do-what-you-love
12203,/advert/nhs/contraception---worth-talking-about,Contraception - Worth Talking About,NHS,external_id,7dc9a4d0-7e0c-44ad-918b-65fc07ebc573,inserted,nhs/contraception-worth-talking-about
12297,/advert/wii/just-dance,Just Dance,Wii,external_id,057f1330-c148-4420-914f-40bb48d0fe03,inserted,wii/just-dance
12418,/advert/chris-moyles/the-parody-album,The Parody Album,Chris Moyles,external_id,c662dcf3-fc6d-4539-8929-451547c5f9eb,inserted,chris-moyles/the-parody-album
12432,/advert/warner-bros/me-%26-orson-welles,Me & Orson Welles,Warner Bros,external_id,7ea4c3f0-ec69-4da9-88a4-db683da7835a,inserted,warner-bros/me-26-orson-welles
12591,/advert/nintendo/mario-%26-sonic-at-the-winter-olympic-games,Mario & Sonic At The Winter Olympic Games,Nintendo,external_id,5d1e4def-f54d-489f-8aed-785ca5c0e8f8,inserted,nintendo/mario-26-sonic-at-the-winter-olympic-games
12698,/advert/camilla-kerslake/camilla-kerslake,Camilla Kerslake,Camilla Kerslake,external_id,042f3b5b-4c29-4036-9bff-3520a367a3f6,inserted,camilla-kerslake/camilla-kerslake
12747,/advert/dolce-%26-gabbana/time,Time,Dolce & Gabbana,external_id,132fe790-8177-40b4-ae73-8ec0e1e94cb8,inserted,dolce-26-gabbana/time
13058,/advert/andrea-bocelli/my-christmas,My Christmas,Andrea Bocelli,external_id,13506b2b-fb07-4cc1-8c8d-a66554ec5b3c,inserted,andrea-bocelli/my-christmas
13498,/advert/ub40/best-of-labour-of-love,Best Of Labour Of Love,UB40,external_id,7c590272-750f-4c52-83e4-fc42ad1e6838,inserted,ub40/best-of-labour-of-love
13891,/advert/accurist/a-timeless-british-classic,A Timeless British Classic,Accurist,external_id,c90615a1-4584-49ea-9ce8-16a95a8ff1fd,inserted,accurist/a-timeless-british-classic
14414,/advert/lg/direct-drive-washer,Direct Drive Washer,LG,external_id,848668f5-29bc-45d0-b898-7df0d47e227a,inserted,lg/direct-drive-washer
14940,/advert/boots/cold-%26-flu-products,Cold & Flu Products,Boots,external_id,f1b98fa7-3b5e-4d40-8b3a-efff2fc137ef,inserted,boots/cold-26-flu-products
14998,/advert/marks-%26-spencer/dine-in-for-two,Dine In For Two,Marks & Spencer,external_id,58a3bdc0-49f5-49a9-9d38-0782bc51204f,inserted,marks-26-spencer/dine-in-for-two
15010,/advert/t-mobile/josh's-band,Josh's Band,T-Mobile,external_id,5b8396a5-cce1-4fec-a2fa-88d69837a3b2,inserted,t-mobile/joshs-band
15085,/advert/thorntons/believe,Believe,Thorntons,external_id,fa49107e-5f0e-461f-b0ae-bfdcea396b62,inserted,thorntons/believe
15438,/advert/tia-maria/mix-it-up,Mix It Up,Tia Maria,external_id,a8a9c4be-6034-4750-8360-0e778a2d5a33,inserted,tia-maria/mix-it-up
